brightness,gauss_amp,gauss_amp_unc,gaussian_width,gaussian_width_unc,int_wv,obs_line_center,obs_line_center_unc
1.956153356124472e-16,1.2263621681770247e-16,2.081115126727381e-17,0.6363473213359625,0.13373160615453147,1208.85,1209.0435910647195,0.1191155797334867
4.3129674355638925e-16,1.7602199454342719e-16,6.326825722393712e-17,0.977505719386946,0.39811485363106264,1211.212,1211.7597926041117,0.36359018943052823
3.0250666062304987e-15,1.0236747153653052e-15,4.611343827731086e-16,1.178916458657625,0.3071790703738289,1218.595,1217.0788362965236,0.5899465061197542
5.554607955892196e-17,9.358909706279662e-17,1.1140111742327679e-17,0.23677629491100852,0.03254565422972743,1224.424,1224.4915796498024,0.032545653638088194
5.554489412411277e-17,9.358842736380688e-17,1.0981697034261448e-17,0.23677293604250946,0.03208180563206984,1224.479,1224.4915778033,0.03208180526238759
5.554480155032908e-17,9.3588362548592e-17,1.0868381435953004e-17,0.23677270540370934,0.03175155553960038,1224.544,1224.4915798284276,0.03175155499271249
2.366080843535714e-16,1.7641345570435685e-16,1.767280367073846e-17,0.5350667178790326,0.06335127649150205,1227.089,1227.0197852836368,0.061123986449381836
3.3547942928695976e-16,3.4354841037960477e-16,1.9394356461977443e-17,0.38957225387719724,0.02545967702684393,1233.922,1234.112572980138,0.025360795579909133
1.1282404294053063e-18,1.2613565241720833e-17,2.702896542032908e-18,0.03568402756258613,0.008830228552927352,1241.905,1241.955876690618,0.008830228647994143
1.4339845407495718e-16,1.7949734711742326e-16,1.3873677084996964e-17,0.3187105948550844,0.0284458772123497,1247.16,1247.2222541413448,0.028445430398389
1.4179983652709643e-16,1.7844829515326197e-16,1.650555853438858e-17,0.31701031436632443,0.03630245491611932,1248.045,1247.2243647230127,0.032514756641183674
1.6876845941648367e-15,2.1334124620710238e-15,4.160655143475356e-17,0.31559239132825123,0.007107569397589946,1250.814,1250.6202308602265,0.0071065993065719145
3.978198099851789e-15,4.678583308691572e-15,6.089117490405215e-17,0.33922051123791247,0.005198602231280347,1253.297,1253.8376187456208,0.005046817902339882
3.97746475590672e-15,4.678256478041772e-15,6.060627801873088e-17,0.3391816732121429,0.005151935410076916,1253.325,1253.8375963786837,0.005034285147997773
3.376942811785841e-17,4.080986211272867e-17,9.270540900502541e-18,0.33011757363886657,0.08658544372179959,1256.093,1256.2141138666966,0.08657876951038967
6.2713882238913355e-15,1.162655519979497e-15,5.318487307538441e-15,2.1519030154056473,2.8698680331742086,1262.86,1259.1012034255884,9.106008191067351
1.4538078451894588e-16,-3.733383233450644e-16,1.4766926825748948e-17,-0.15535116026363952,0.00709553044303155,1270.782,1270.7821073636062,0.007095530550770801
9.00148439364284e-18,3.0057191014361216e-17,6.975944313308085e-18,0.1194746611312408,0.02261831921173935,1277.212,1275.9576820181767,0.032428700431618954
2.808869855571711e-32,1.1205769445249995e-32,1.3387303253793105e-33,1.0000000008991992,1.321813888077538e-09,1280.099,1280.0989999995215,8.796021509138254e-10
1.0534415005396033e-15,1.2040481035328854e-15,3.82889976117309e-17,0.3490411664298578,0.012817138784610023,1295.652,1295.6985033745357,0.012816637541154618
1.0578922572337256e-15,1.2059381800381041e-15,3.8508953727699574e-17,0.34996648792271123,0.013027639287958474,1296.174,1295.6982891369048,0.012841738603136092
5.224916363748003e-15,7.533097360209947e-15,1.0154722872737975e-16,0.2767042491804854,0.004307018597257518,1302.337,1302.2389688308128,0.004307017893878366
5.220122030051162e-15,7.530559005069694e-15,1.0184444242821985e-16,0.276543532192016,0.004345042144639143,1302.863,1302.2390067850495,0.0043052737820657595
5.379028917718642e-15,7.620813538149676e-15,1.1552756462078487e-16,0.28158700538170534,0.00524229591597781,1303.111,1302.236870305832,0.004762236216523382
2.2380815640593643e-14,1.8114111768642318e-14,5.5283950048652434e-15,0.4929114793450178,0.0675773862266713,1303.4295,1301.8665802127548,0.15942803387927235
1.4072646218936993e-13,3.804227937012141e-14,2.3697626807625704e-14,1.475772132170062,0.33978479379076104,1305.883,1303.4002141737822,0.919450774302028
5.974752646048639e-17,9.906087987688358e-17,1.0689558407958387e-17,0.2406178350537103,0.02998259700069608,1310.194,1310.2470010082877,0.029982596461791952
